,Given Stock,Symbol,ISIN,Status,Date of Listing,Basic Industry,Sectoral Index,Macro-Economic Sector,Sector,Industry
0,AARON,AARON,INE721Z01010,Listed,06-Nov-2020,Elevators,NA,Industrials,Capital Goods,Industrial Manufacturing
1,AARTIDRUGS,AARTIDRUGS,INE767A01016,Listed,19-Sep-2003,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
2,AARTIIND,AARTIIND,INE769A01020,Listed,08-Feb-1995,Specialty Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
3,AARTISURF,AARTISURF,INE09EO01013,Listed,14-Jul-2020,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
4,AARVEEDEN,AARVEEDEN,INE273D01019,Listed,21-Nov-2006,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
5,AARVI,AARVI,INE754X01016,Listed,24-Jun-2020,Diversified Commercial Services,NA,Services,Services,Commercial Services & Supplies
6,AAVAS,AAVAS,INE216P01012,Listed,08-Oct-2018,Housing Finance Company,NIFTY FINANCIAL SERVICES,Financial Services,Financial Services,Finance
7,ABAN,ABAN,INE421A01028,Listed,29-Mar-1995,Offshore Support Solution Drilling,NIFTY 500                                         ,Energy,Oil Gas & Consumable Fuels,Oil
8,ABB,ABB,INE117A01022,Listed,08-Feb-1995,Heavy Electrical Equipment,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Electrical Equipment
9,ABBOTINDIA,ABBOTINDIA,INE358A01014,Permitted to trade,08-Jan-2010,Pharmaceuticals,NIFTY PHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
10,ABCAPITAL,ABCAPITAL,INE674K01013,Listed,01-Sep-2017,Life Insurance,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Insurance
11,ABCOTS,ABCOTS,INE08PH01015,Listed,11-Jan-2022,Other Textile Products,NA,Consumer Discretionary,Textiles,Textiles & Apparels
12,ABFRL,ABFRL,INE647O01011,Listed,17-Jul-2013,Speciality Retail,NIFTY 500                                         ,Consumer Discretionary,Consumer Services,Retailing
13,ABINFRA,ABINFRA,INE00YB01017,Listed,12-Jul-2019,Civil Construction,NA,Industrials,Construction,Construction
14,ABMINTLLTD,ABMINTLLTD,INE251C01025,Listed,09-Sep-2021,Trading & Distributors,NA,Services,Services,Commercial Services & Supplies
15,ABSLAMC,ABSLAMC,INE404A01024,Listed,11-Oct-2021,Asset Management Company,NA,Financial Services,Financial Services,Capital Markets
16,ABSLBANETF,ABSLBANETF,INF209KB17D5,Listed,30-Oct-2019,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
17,ABSLNN50ET,ABSLNN50ET,INF209KB16D7,Listed,21-Dec-2018,NA,NA,,,
18,ACC,ACC,INE012A01025,Listed,20-Nov-1996,Cement & Cement Products,NIFTY COMMODITIES                                 ,Commodities,Construction Materials,Cement & Cement Products
19,ACCELYA,ACCELYA,INE793A01012,Listed,01-Dec-1999,Computers - Software & Consulting,NIFTY IT                                          ,Information Technology,Information Technology,IT - Software
20,ACCURACY,ACCURACY,INE648Z01015,Listed,11-Dec-2020,Logistics Solution Provider,NA,Services,Services,Transport Services
21,ACE,ACE,INE731H01025,Listed,26-Sep-2006,Construction Vehicles,NIFTY 500                                         ,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles
22,ACEINTEG,ACEINTEG,INE543V01017,Listed,04-Nov-2022,Diversified Commercial Services,NA,Services,Services,Commercial Services & Supplies
23,ACRYSIL,ACRYSIL,INE482D01024,Listed,14-Jan-2021,Household Appliances,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
24,ADANIENT,ADANIENT,INE423A01024,Listed,04-Jun-1997,Trading - Minerals,NIFTY 500                                         ,Commodities,Metals & Mining,Metals & Minerals Trading
25,ADANIGREEN,ADANIGREEN,INE364U01010,Listed,18-Jun-2018,Electric Utilities,NIFTY 500                                         ,Utilities,Power,Power
26,ADANIPORTS,ADANIPORTS,INE742F01042,Listed,27-Nov-2007,Port & Port services,NIFTY 500                                         ,Services,Services,Transport Infrastructure
27,ADANIPOWER,ADANIPOWER,INE814H01011,Listed,20-Aug-2009,Electric Utilities,NIFTY INFRASTRUCTURE                              ,Utilities,Power,Power
28,ADANITRANS,ADANITRANS,INE931S01010,Listed,31-Jul-2015,Power - Transmission,NIFTY 500                                         ,Utilities,Power,Power
29,ADFFOODS,ADFFOODS,INE982B01019,Listed,15-Sep-2010,Packaged Foods,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
30,ADL,ADL,INE0CHO01012,Listed,01-Oct-2020,Plywood Boards/ Laminates,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
31,ADORWELD,ADORWELD,INE045A01017,Listed,10-May-1995,Electrodes,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
